pixel_id,timestamp,test,gatewayId,bridgeId,zone_name,packet_counter,signal_strength,temperature,nfpkt,interal_oscillation,unload_timestamp
T2213,1683904711881,test_1,GW0CDC7EDB200C,2B9CA06C53B2,FastSorter,65,83,24.5,0,1910.6328,1683905681000
T2213,1683905449804,test_1,GW0CDC7EDB200C,2B9CA06C53B2,FastSorter,210,84,24.5,0,1898.6328,1683905681000
T2213,1683905664965,test_1,GW0CDC7EDB200C,2B9CA06C53B2,FastSorter,76,76,24.5,1,1899.6328,1683905681000
T2213,1683905696647,test_1,GW0CDC7EDB200C,3D9B5E166F18,FastSorter,103,55,24.5,0,1922.3789,1683905681000
T2213,1683904625580,test_1,GW0CDC7EDB200C,575345CE2154,GMReceiving,253,69,24.5,7,1897.6328,1683905681000
T2213,1683904711881,test_1,GW0CDC7EDB200C,575345CE2154,GMReceiving,65,68,24.5,5,1910.6328,1683905681000
T2213,1683904726165,test_1,GW0CDC7EDB200C,575345CE2154,GMReceiving,76,78,24.5,2,1902.6328,1683905681000
T2213,1683904756558,test_1,GW0CDC7EDB200C,575345CE2154,GMReceiving,99,69,24.5,7,1906.7828,1683905681000
T2213,1683904774743,test_1,GW0CDC7EDB200C,575345CE2154,GMReceiving,114,73,24.5,6,1909.7828,1683905681000
T2213,1683904866643,test_1,GW0CDC7EDB200C,575345CE2154,GMReceiving,170,69,24.5,2,1897.6328,1683905681000
T2213,1683904901641,test_1,GW0CDC7EDB200C,575345CE2154,GMReceiving,187,68,24.5,4,1907.6328,1683905681000
T2213,1683905061912,test_1,GW0CDC7EDB200C,575345CE2154,GMReceiving,255,69,24.5,6,1902.6328,1683905681000
T2213,1683905079951,test_1,GW0CDC7EDB200C,575345CE2154,GMReceiving,6,69,24.5,4,1900.6328,1683905681000
T2213,1683905096913,test_1,GW0CDC7EDB200C,575345CE2154,GMReceiving,15,70,24.5,5,1905.6328,1683905681000
T2213,1683905172727,test_1,GW0CDC7EDB200C,575345CE2154,GMReceiving,72,71,24.5,6,1892.6328,1683905681000
T2213,1683905219687,test_1,GW0CDC7EDB200C,575345CE2154,GMReceiving,97,69,24.5,4,1894.6328,1683905681000
T2213,1683905267821,test_1,GW0CDC7EDB200C,575345CE2154,GMReceiving,120,74,24.5,5,1899.6328,1683905681000
T2213,1683905289224,test_1,GW0CDC7EDB200C,575345CE2154,GMReceiving,130,70,24.5,6,1918.7828,1683905681000
T2213,1683905360314,test_1,GW0CDC7EDB200C,575345CE2154,GMReceiving,164,70,24.5,4,1899.6328,1683905681000
T2213,1683905375118,test_1,GW0CDC7EDB200C,575345CE2154,GMReceiving,171,71,24.5,5,1899.6328,1683905681000
T2213,1683905392421,test_1,GW0CDC7EDB200C,575345CE2154,GMReceiving,179,73,24.5,4,1901.6328,1683905681000
T2213,1683905482217,test_1,GW0CDC7EDB200C,575345CE2154,GMReceiving,229,67,24.5,6,1900.6328,1683905681000
T2213,1683905560019,test_1,GW0CDC7EDB200C,575345CE2154,GMReceiving,24,69,24.5,5,1899.6328,1683905681000
T2213,1683905660659,test_1,GW0CDC7EDB200C,575345CE2154,GMReceiving,74,61,24.5,4,1902.6328,1683905681000
T2213,1683904653326,test_1,GW0CDC7EDB200C,61DDE8F31239,FastSorter,18,83,24.5,0,1909.7828,1683905681000
T2213,1683905694526,test_1,GW0CDC7EDB200C,61DDE8F31239,FastSorter,100,63,24.5,0,1893.0786,1683905681000
T2213,1683905672110,test_1,GW0CDC7EDB200C,671E77344434,FastSorter,80,74,24.5,0,1929.7828,1683905681000
T2213,1683904653326,test_1,GW0CDC7EDB200C,6EE5945E8B73,FastSorter,18,77,24.5,0,1909.7828,1683905681000
T2213,1683905694526,test_1,GW0CDC7EDB200C,6EE5945E8B73,FastSorter,100,54,24.5,0,1893.0786,1683905681000
T2213,1683905698502,test_1,GW0CDC7EDB200C,93D44D27CAB1,FastSorter,106,65,24.5,0,1919.3789,1683905681000
T2213,1683904694912,test_1,GW0CDC7EDB200C,F2862879ADE1,GMReceiving,51,84,24.5,0,1906.7828,1683905681000
T2213,1683904811233,test_1,GW0CDC7EDB200C,F2862879ADE1,GMReceiving,142,82,24.5,0,1907.6328,1683905681000
T2213,1683904828210,test_1,GW0CDC7EDB200C,F2862879ADE1,GMReceiving,154,82,24.5,0,1929.7828,1683905681000
T2213,1683905687692,test_1,GW0CDC7EDB200C,F2862879ADE1,GMReceiving,93,69,24.5,0,1897.6328,1683905681000
T2214,1683905263348,test_1,GW0CDC7EDB200C,2B9CA06C53B2,FastSorter,80,81,24.5,0,2288.0967,1683905681000
T2214,1683905401803,test_1,GW0CDC7EDB200C,2B9CA06C53B2,FastSorter,127,84,24.5,0,2286.0967,1683905681000
T2214,1683905668620,test_1,GW0CDC7EDB200C,2B9CA06C53B2,FastSorter,220,79,24.5,0,2292.0967,1683905681000
T2214,1683904769428,test_1,GW0CDC7EDB200C,3D9B5E166F18,FastSorter,145,81,24.5,0,2444.8474,1683905681000
T2214,1683905697027,test_1,GW0CDC7EDB200C,3D9B5E166F18,FastSorter,250,59,24.5,0,2280.9465,1683905681000
T2214,1683906211748,test_1,GW0CDC7EDB200C,3D9B5E166F18,FastSorter,53,76,23.5,1,2120.2378,1683905681000
T2214,1683904955646,test_1,GW0CDC7EDB200C,575345CE2154,GMReceiving,211,65,24.5,2,2456.9976,1683905681000
T2214,1683904988026,test_1,GW0CDC7EDB200C,575345CE2154,GMReceiving,222,69,24.5,3,2451.9976,1683905681000
T2214,1683905012108,test_1,GW0CDC7EDB200C,575345CE2154,GMReceiving,224,73,24.5,0,2306.2468,1683905681000
T2214,1683905032886,test_1,GW0CDC7EDB200C,575345CE2154,GMReceiving,229,70,24.5,2,2298.0967,1683905681000
T2214,1683905064022,test_1,GW0CDC7EDB200C,575345CE2154,GMReceiving,240,66,24.5,3,2299.0967,1683905681000
T2214,1683905079024,test_1,GW0CDC7EDB200C,575345CE2154,GMReceiving,246,68,24.5,4,2296.0967,1683905681000
T2214,1683905097021,test_1,GW0CDC7EDB200C,575345CE2154,GMReceiving,254,66,24.5,4,2304.2468,1683905681000
T2214,1683905170450,test_1,GW0CDC7EDB200C,575345CE2154,GMReceiving,39,67,24.5,4,2290.0967,1683905681000
T2214,1683905254571,test_1,GW0CDC7EDB200C,575345CE2154,GMReceiving,76,68,24.5,5,2286.0967,1683905681000
T2214,1683905278885,test_1,GW0CDC7EDB200C,575345CE2154,GMReceiving,86,66,24.5,4,2288.0967,1683905681000
T2214,1683905295812,test_1,GW0CDC7EDB200C,575345CE2154,GMReceiving,92,66,24.5,5,2288.0967,1683905681000
T2214,1683905327001,test_1,GW0CDC7EDB200C,575345CE2154,GMReceiving,101,68,24.5,3,2289.0967,1683905681000
T2214,1683905358255,test_1,GW0CDC7EDB200C,575345CE2154,GMReceiving,113,65,24.5,3,2285.0967,1683905681000
T2214,1683905393939,test_1,GW0CDC7EDB200C,575345CE2154,GMReceiving,124,66,24.5,3,2283.0967,1683905681000
T2214,1683905425544,test_1,GW0CDC7EDB200C,575345CE2154,GMReceiving,133,66,24.5,1,2294.0967,1683905681000
T2214,1683905446678,test_1,GW0CDC7EDB200C,575345CE2154,GMReceiving,141,65,24.5,3,2300.0967,1683905681000
